,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
123,123,0.1,1260,2.25,1,100000.0,0.01715,0.00243,5.72,809842000000.0,547.5899999999999,0.54759,44346138078.0,0.03673794893749118,0.010915252773920844,0.002820456131099109
124,124,0.1,1270,2.25,1,100000.0,0.01715,0.00243,5.72,810659000000.0,556.0899999999999,0.55609,45079936331.0,0.03852294281826517,0.010694003244436184,0.0028506533903887195
125,125,0.1,1280,2.25,1,100000.0,0.01715,0.00243,5.72,811461000000.0,555.01,0.55501,45036896961.0,0.03829971772392355,0.01062599456409204,0.002850526389821429
126,126,0.1,1290,2.25,1,100000.0,0.01715,0.00243,5.72,812250000000.0,560.79,0.5607899999999999,45550167750.0,0.038773466289715085,0.010494814068576983,0.002837286244738445
127,127,0.1,1300,2.25,1,100000.0,0.01715,0.00243,5.72,813025000000.0,555.11,0.55511,45131830775.0,0.039050012624866216,0.011027287970389935,0.0028286906773897606
128,128,0.1,1310,2.25,1,100000.0,0.01715,0.00243,5.72,813787000000.0,557.99,0.55799,45408500813.0,0.03933995869661658,0.01086585375415146,0.0028480414884627324
129,129,0.1,1320,2.25,1,100000.0,0.01715,0.00243,5.72,814536000000.0,563.29,0.5632900000000001,45881998344.0,0.03910064962758497,0.010960989035123712,0.002845254962913382
130,130,0.1,1330,2.25,1,100000.0,0.01715,0.00243,5.72,815272000000.0,561.12,0.5611200000000001,45746542464.0,0.04163889814468348,0.010834230585332215,0.00286196858249478
131,131,0.1,1340,2.25,1,100000.0,0.01715,0.00243,5.72,815995000000.0,567.08,0.56708,46273444460.0,0.04081715133424496,0.010254352988151576,0.00284593935497664
132,132,0.1,1350,2.25,1,100000.0,0.01715,0.00243,5.72,816705000000.0,565.44,0.56544,46179767520.0,0.0412074263476552,0.011024977833818539,0.002849648393779975
133,133,0.1,1360,2.25,1,100000.0,0.01715,0.00243,5.72,817404000000.0,573.05,0.5730500000000001,46841336220.0,0.04162356859261308,0.011054978221984316,0.0028534942216415097
134,134,0.1,1370,2.25,1,100000.0,0.01715,0.00243,5.72,818090000000.0,572.77,0.57277,46857740930.0,0.04287626245224146,0.010814469384768727,0.002849954048503513
135,135,0.1,1380,2.25,1,100000.0,0.01715,0.00243,5.72,818763000000.0,576.69,0.5766899999999999,47217243447.0,0.0419758540017051,0.01080685438854438,0.0028577207970623486
136,136,0.1,1390,2.25,1,100000.0,0.01715,0.00243,5.72,819425000000.0,572.26,0.57226,46892415050.0,0.042764204348331995,0.010581765139396269,0.0028515267138783055
137,137,0.1,1400,2.25,1,100000.0,0.01715,0.00243,5.72,820075000000.0,573.98,0.5739799999999999,47070664850.0,0.04262081004169431,0.010768880417277242,0.0028673503584782595
138,138,0.1,1410,2.25,1,100000.0,0.01715,0.00243,5.72,820714000000.0,577.55,0.57755,47400337070.0,0.042997306427378125,0.010974722991864683,0.0028496023765203883
139,139,0.1,1420,2.25,1,100000.0,0.01715,0.00243,5.72,821341000000.0,578.25,0.5782499999999999,47494043325.0,0.04473829773870193,0.010655705385060535,0.002830321128174384
140,140,0.1,1430,2.25,1,100000.0,0.01715,0.00243,5.72,821957000000.0,582.14,0.58214,47849404798.0,0.04484787153100797,0.011112244836706564,0.0028469478255913434
141,141,0.1,1440,2.25,1,100000.0,0.01715,0.00243,5.72,822561000000.0,586.14,0.58614,48213590454.0,0.045166395868914154,0.010476796544175666,0.0028412175458383086
142,142,0.1,1450,2.25,1,100000.0,0.01715,0.00243,5.72,823155000000.0,591.24,0.5912400000000001,48668216220.0,0.045993876768934565,0.010657595061803976,0.0028790387825904807
143,143,0.1,1460,2.25,1,100000.0,0.01715,0.00243,5.72,823737000000.0,586.76,0.5867600000000001,48333592212.0,0.04578218393061661,0.010387848210107496,0.0028388389392202057
