
 Ring Parameters
 ---------------
      gamma			     3327.
      dgamma			0.8000E-03
      rho (meter)		    4.3800
      epsx ( pi m rad)    	0.6100E-08
      epsy ( pi m rad) 	0.6000E-10
      current (amp)		    0.2000


 insertion parameters
 --------------------
      length of section (m)	    3.4300
      betax (m/rad)		    1.1200
      betay (m/rad)		    1.4600


 properties of undulator
 -----------------------
      periode length (m)             	    0.0460
      number of periodes              	   74.0000
      minimum K                       	    0.5000
      maximum K                            2.5000
      order of spectrum k                  1.0000
      minimum gap (REC hybrid, m)          0.0166

 properties of radiation
      theta0 (rad) K = 0               0.3494E-04
      sigmax (m)                       0.8266E-04
      sigmay (m)                       0.9359E-05
      sigmaxp (rad) K = 0              0.8165E-04
      sigmayp (rad) K = 0              0.3552E-04
      dgamma                           0.8000E-03
      Ptot (Watt)                      0.4218E+03
      dP/dOmega (Watt/mrad^2)          0.7706E+09
      h*nue (eV)         Brilliance              Flux         K       Ptot    gap
                            photon              photon               (Watt)     (m)
               sec*(mm*mrad)**2*0.1% BW      sec*0.1% BW  

     0.5103E+03          0.8826E+19        0.737592E+15     2.240    316.874  0.017831
     0.5142E+03          0.8833E+19        0.734226E+15     2.228    313.584  0.017890
     0.5180E+03          0.8840E+19        0.730849E+15     2.216    310.342  0.017949
     0.5218E+03          0.8845E+19        0.727458E+15     2.205    307.148  0.018007
     0.5256E+03          0.8850E+19        0.724055E+15     2.194    304.000  0.018066
     0.5294E+03          0.8854E+19        0.720640E+15     2.182    300.898  0.018124
     0.5332E+03          0.8857E+19        0.717214E+15     2.171    297.839  0.018182
     0.5371E+03          0.8859E+19        0.713775E+15     2.160    294.825  0.018240
     0.5409E+03          0.8861E+19        0.710325E+15     2.149    291.853  0.018298
     0.5447E+03          0.8862E+19        0.706864E+15     2.138    288.922  0.018355
     0.5485E+03          0.8862E+19        0.703392E+15     2.128    286.033  0.018412
     0.5523E+03          0.8862E+19        0.699909E+15     2.117    283.183  0.018470
     0.5561E+03          0.8860E+19        0.696415E+15     2.107    280.373  0.018527
     0.5600E+03          0.8858E+19        0.692912E+15     2.096    277.600  0.018584
     0.5638E+03          0.8855E+19        0.689398E+15     2.086    274.866  0.018640
     0.5676E+03          0.8852E+19        0.685874E+15     2.076    272.168  0.018697
     0.5714E+03          0.8848E+19        0.682341E+15     2.065    269.506  0.018754
     0.5752E+03          0.8843E+19        0.678798E+15     2.055    266.879  0.018810
     0.5790E+03          0.8837E+19        0.675246E+15     2.045    264.287  0.018866
     0.5829E+03          0.8831E+19        0.671685E+15     2.035    261.729  0.018922
     0.5867E+03          0.8824E+19        0.668116E+15     2.026    259.205  0.018978
     0.5905E+03          0.8816E+19        0.664538E+15     2.016    256.713  0.019034
     0.5943E+03          0.8808E+19        0.660951E+15     2.006    254.253  0.019090
     0.5981E+03          0.8799E+19        0.657357E+15     1.996    251.824  0.019145
     0.6019E+03          0.8789E+19        0.653755E+15     1.987    249.426  0.019201
     0.6058E+03          0.8779E+19        0.650146E+15     1.978    247.058  0.019256
     0.6096E+03          0.8768E+19        0.646529E+15     1.968    244.720  0.019311
     0.6134E+03          0.8756E+19        0.642905E+15     1.959    242.411  0.019366
     0.6172E+03          0.8744E+19        0.639275E+15     1.950    240.131  0.019421
     0.6210E+03          0.8731E+19        0.635638E+15     1.940    237.879  0.019476
